Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
24238194,2015-05-07 19:52:06.0000003,7.422293018984433,2015-05-07 19:52:06 UTC,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1
27835199,2009-07-17 20:04:56.0000002,7.620220832824018,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,1
44984355,2009-08-24 21:45:00.00000061,12.766343992653226,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,1
25894730,2009-06-26 08:22:21.0000001,5.245087066748999,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,3
17610152,2014-08-28 17:47:00.000000188,15.834225107166791,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.97308199999999,40.761247,5
44470845,2011-02-12 02:27:09.0000006,4.84923143906983,2011-02-12 02:27:09 UTC,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1
48725865,2014-10-12 07:04:00.0000002,24.24615719534915,2014-10-12 07:04:00 UTC,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5
44195482,2012-12-11 13:52:00.00000029,2.474097672994811,2012-12-11 13:52:00 UTC,0.0,0.0,0.0,0.0,1
15822268,2012-02-17 09:32:00.00000043,9.599498971219866,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,1
50611056,2012-03-29 19:06:00.000000273,12.370488364974056,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,1
2205147,2015-05-22 17:32:27.0000004,6.432653949786509,2015-05-22 17:32:27 UTC,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1
6379048,2011-05-23 22:15:00.00000086,8.411932088182358,2011-05-23 22:15:00 UTC,0.0,0.0,0.0,0.0,1
31892535,2011-05-17 14:03:00.000000158,3.2658089283531506,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,5
13012786,2011-06-25 11:19:00.000000102,10.787065854257376,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,1
