Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
16368093,2012-08-26 14:31:00.00000084,4.9,2012-08-26 14:31:00 UTC,-73.98187800000001,40.778722,-73.987787,40.771163,3
43988293,2012-08-03 23:13:00.000000237,18.1,2012-08-03 23:13:00 UTC,-73.998515,40.747095,-73.967875,40.69529,5
34411049,2013-08-10 03:05:00.00000082,21.5,2013-08-10 03:05:00 UTC,-73.975285,40.735602,-73.97402199999999,40.795592,1
54724050,2010-02-08 22:31:38.0000001,5.7,2010-02-08 22:31:38 UTC,-74.002502,40.726697,-73.993987,40.745091,1
31052771,2014-05-30 16:05:00.000000123,17.0,2014-05-30 16:05:00 UTC,-74.013402,40.714062,-73.988897,40.758532,3
19083998,2012-02-28 15:42:26.0000001,16.5,2012-02-28 15:42:26 UTC,-73.87495799999999,40.774058,-73.81254,40.713205,1
26849882,2012-06-20 11:21:30.0000003,6.9,2012-06-20 11:21:30 UTC,-73.983467,40.726277,-73.982605,40.739737,1
50524085,2014-09-23 07:48:01.0000001,11.0,2014-09-23 07:48:01 UTC,-73.989439,40.776503000000005,-73.966752,40.769882,1
46980382,2011-06-17 10:12:47.0000003,9.7,2011-06-17 10:12:47 UTC,-73.991901,40.73117,-73.992289,40.749283,1
31987610,2015-05-27 12:28:57.0000006,10.0,2015-05-27 12:28:57 UTC,-73.9585952758789,40.7641830444336,-73.96001434326173,40.779258728027344,1
41190950,2011-01-17 11:45:00.00000044,4.9,2011-01-17 11:45:00 UTC,-73.97704300000001,40.795833,-73.98905500000001,40.795602,3
8069435,2009-08-13 20:18:41.0000002,7.7,2009-08-13 20:18:41 UTC,-73.99238000000001,40.734704,-73.990077,40.756641,1
50548438,2012-07-12 20:52:53.0000001,7.7,2012-07-12 20:52:53 UTC,-73.996127,40.75846,-73.99980699999999,40.753539,1
15947987,2010-09-11 08:07:58.0000001,6.1,2010-09-11 08:07:58 UTC,-73.955713,40.763913,-73.991062,40.742445,1
12146482,2012-07-01 03:36:00.00000080,10.1,2012-07-01 03:36:00 UTC,-73.986885,40.76093,-73.95108499999999,40.782612,5
12776981,2009-05-09 17:06:06.0000002,7.7,2009-05-09 17:06:06 UTC,-73.992168,40.721211,-74.001862,40.736316,1
